x,y,z,vx,vy,vz
-57219051.88294508,30168227.70545976,4672157.371047532,-15.9824534812882,-52.07236285630111,2.499636237619661
-58494224.31399223,25614610.05109819,4879384.240238762,-13.50930467276773,-53.31119548142803,2.294385427825755
-59549113.29640679,20960582.76994924,5068135.583057576,-10.88538830044411,-54.39276963179942,2.072079871060566
-60371299.38743979,16220728.03652275,5236974.750677878,-8.125512702319698,-55.29423948738459,1.833647492362648
-60949839.55766571,11411538.30577867,5384564.780374004,-5.249035299901222,-55.99440705481474,1.580470370915641
-61275653.32119963,6551227.809073558,5509707.89354415,-2.279652972580989,-56.47479407542643,1.314386210125932
-61341877.54503669,1659451.746930506,5611383.889335634,0.7551161233459229,-56.72069056041871,1.037660728103425
-61144163.07631344,-3243060.446586614,5688784.817668358,3.824757722811996,-56.72207782510607,0.7529291212010456
-60680888.14760674,-8134942.45623929,5741343.310024271,6.89685248084131,-56.47432399848538,0.4631084249632131
-59953268.78535835,-12994675.54701689,5768752.274852488,9.938352926288736,-55.97856720292108,0.171286533023963
-58965354.73351112,-17801090.63396896,5770974.316253389,12.91693661532399,-55.24173482795648,-0.1194029536654924
-57723909.6112648,-22533855.85005409,5748240.130527932,15.80231205332787,-54.27619119332581,-0.405908747369029
-56238184.57552998,-27173918.84298174,5701036.140191714,18.56735988891799,-53.09905192814659,-0.685381116292195
-54519603.97502306,-31703878.10797809,5630082.579068474,21.18901625332745,-51.73124235598397,-0.9552722023156832
-52581387.98709654,-36108265.5258659,5536303.998865353,23.64884230843575,-50.19640178655646,-1.213410236280708
-50438140.25678067,-40373731.50672776,5420794.628689101,25.93326588568098,-48.51974249368342,-1.458044218510452
-48105428.07532982,-44489133.22146425,5284781.151455004,28.03351928918791,-46.72696234503978,-1.68785936657833
-45599379.24231414,-48445534.07044861,5129585.295971556,29.94532576526337,-44.84328805738019,-1.901966698680852
-42936314.44311973,-52236127.99995411,4956588.257270059,31.66840293861352,-42.89269805284565,-2.099872132842586
-40132427.8398722,-55856105.27828443,4767198.447303047,33.20585502016957,-40.89734582981232,-2.281431354903868
-37203522.57960009,-59302477.08278068,4562823.536499631,34.56351941256217,-38.87718102543458,-2.446796598334265
-34164802.75168964,-62573875.21516272,4344847.246715169,35.74932110686092,-36.84974825841804,-2.596360677798394
-31030719.34331477,-65670341.06077233,4114610.943592228,36.77267352921677,-34.83013382888635,-2.73070244707203
-27814865.03558305,-68593115.117124,3873399.770836204,37.64395004161585,-32.83102652248098,-2.85053658587095
-24529911.14683996,-71344435.50797059,3622432.869577147,38.37403788897012,-30.86285955546542,-2.956669453162123
-21187579.44533118,-73927351.1964128,3362857.119037274,38.97397682541457,-28.93400441780289,-3.049961784612822
-17798641.66648192,-76345553.30170776,3095743.800197095,39.45467804221934,-27.05099255020311,-3.131298296857496
-14372940.13816857,-78603226.08496477,2822087.601050831,39.82671501645888,-25.21874632780004,-3.201563781461438
-10919423.73799848,-80704917.79628703,2542807.431482542,40.10017595980807,-23.44080600377385,-3.261624990640337
-7446194.326717288,-82655430.62068538,2258748.582566012,40.28456709057654,-21.71954370651595,-3.31231748851302
-3960559.716332013,-84459728.35074745,1970685.838025358,40.38875646038704,-20.05635914228171,-3.354436620072273
-469090.0757374497,-86122860.07420795,1679327.217223637,40.42094912572576,-18.45185434707552,-3.388731796074179
3022324.583195616,-87649898.02333178,1385318.09489188,40.38868576254434,-16.90598675806366,-3.415903375710266
6508417.572142587,-89045887.73005183,1089245.500591826,40.29885817762204,-15.41820117255747,-3.436601529076885
9984490.569081623,-90315808.71786693,791642.4498434961,40.15773645078658,-13.98754197156264,-3.451426564186796
13446361.35632375,-91464544.10197647,492992.1991199479,39.97100358192108,-12.61274743164679,-3.460930300123502
16890314.75962106,-92496857.63644429,193732.3492416441,39.74379448945631,-11.29232813943732,-3.465618154399956
20313057.05762013,-93417376.9229989,-105741.2529135495,39.48073701078334,-10.02463154131707,-3.465951686783957
23711673.95693558,-94230581.66837266,-405070.8449570611,39.18599320185963,-8.807894570289157,-3.462351403649966
27083592.10390704,-94940796.03856279,-703933.3276852518,38.86329974225205,-7.640286138584663,-3.455199677154294
30426544.01867746,-95552184.30511147,-1002037.097024173,38.51600664428516,-6.519941100530854,-3.444843673549597
33738536.28143183,-96068749.10879056,-1299119.126603112,38.14711376169726,-5.444987096956908,-3.431598216269847
37017820.76703188,-96494331.77978925,-1594942.29299821,37.75930481318447,-4.413565503598273,-3.415748533517776
40262868.70696654,-96832614.25139496,-1889292.932171606,37.35497879578885,-3.42384752961418,-3.397552858338514
43472347.35190332,-97087122.18751547,-2181978.613480501,36.93627877595573,-2.474046352621871,-3.377244862752764
46645099.01063444,-97261229.01473054,-2472826.116492607,36.50511812338205,-1.562426035187448,-3.35503591745588
49780122.24918897,-97358160.60847321,-2761679.59543322,36.06320430339117,-0.6873078445174262,-3.331117175688919
52876555.04533917,-97381000.43196419,-3048398.916197062,35.61206037450555,0.1529255088316694,-3.305661484824689
55933659.70720635,-97332694.96708894,-3332858.151315831,35.15304435453131,0.9598272875332527,-3.278825132514257
58950809.37912295,-97216059.30980472,-3614944.218962044,34.68736662494837,1.734885449724782,-3.250749436324318
61927475.97259621,-97033782.83003855,-3894555.652898327,34.21610554285332,2.479522391014292,-3.221562186988726
64863219.37463923,-96788434.81837052,-4171601.491182677,33.74022142442714,3.195095473503611,-3.19137895594472
67757677.79956265,-96482470.05994348,-4446000.272370264,33.26056905560691,3.882898153131102,-3.160304277914592
70610559.16334532,-96118234.29072168,-4717679.128872603,32.77790887559708,4.544161553035382,-3.128432719071921
73421633.37181604,-95697969.50304106,-4986572.968029581,32.29291696791509,5.180056360601409,-3.095849840900605
76190725.42503312,-95223819.0768719,-5252623.732298702,31.80619398246174,5.791694950390084,-3.062633069295384
78917709.25043781,-94697832.72075772,-5515779.730764255,31.31827310105205,6.380133655295364,-3.028852477816542
81602502.18661004,-94121971.21238863,-5775995.034910891,30.82962714824711,6.946375124537573,-2.994571493355375
84245060.04781687,-93498110.93345556,-6033228.93228969,30.34067493929768,7.491370720607129,-2.959847531782192
86845372.70706795,-92828048.19710386,-6287445.432331506,29.85178694768996,8.016022917849458,-2.924732570511543
89403460.1421447,-92113503.36912991,-6538612.819133751,29.3632903662323,8.521187674242702,-2.889273664285004
91919368.89511424,-91356124.78620793,-6786703.246565394,28.87547362777657,9.007676754920494,-2.853513409883194
94393168.90123765,-90557492.47603667,-7031692.371504635,28.38859044456591,9.476259991609757,-2.81749036493113
96824950.64799675,-89719121.6854606,-7273559.02144764,27.90286341878961,9.927667466656773,-2.78123942545449
99214822.62925424,-88842466.22343932,-7512284.893108658,27.41848727116846,10.36259161389782,-2.744792166379912
101562909.0633793,-87928921.62627892,-7747854.27897568,26.93563172922961,10.78168923147147,-2.708177148747652
103869347.847568,-86979828.15286386,-7980253.819094241,26.45444411231235,11.18558340389802,-2.671420197019932
106134288.7236055,-85996473.61778007,-8209472.275629457,25.97505164622931,11.57486533247775,-2.634544649520089
108357891.6330024,-84980096.070243,-8435500.328004047,25.4975635368445,11.95009607437555,-2.597571584725642
110540325.2418204,-83931886.32666779,-8658330.386634145,25.02207282859279,12.3118081917495,-2.560520025859232
112681765.6176256,-82852990.36456268,-8877956.423483394,24.54865807103974,12.6605073131629,-2.52340712595504
114782395.0428875,-81744511.58521283,-9094373.817834795,24.07738481401461,12.99667360989221,-2.486248335364799
116842400.9508164,-80607512.95237625,-9307579.21584016,23.60830694962836,13.32076319024791,-2.449057553460213
118861974.9711312,-79443019.01393376,-9517570.402551517,23.14146791734926,13.63320941525873,-2.41184726609547
120841312.0745515,-78252017.8131344,-9724346.18526487,22.67690178668867,13.9344241391862,-2.374628670250706
122780609.8060192,-77035462.6957798,-9927906.287125748,22.21463423023541,14.22479887847964,-2.337411787106133
124680067.5976687,-75794274.0193738,-10128251.25004562,21.75468339863731,14.50470591269667,-2.300205564693097
126539886.1535299,-74529340.76996313,-10325382.346074,21.29706070761133,14.77449932098487,-2.263017971126744
128360266.8987621,-73241522.09208421,-10519301.49645218,20.8417715461601,15.03451595756685,-2.225856079339392
130141411.4869679,-71931648.73694193,-10710011.19765062,20.38881591407079,15.2850763696247,-2.1887261441287
131883521.3597964,-70600524.43365332,-10897514.45375806,19.93818899596032,15.52648566082564,-2.151633672260183
133586797.3536372,-69248927.1881176,-11081814.71465128,19.48988167832319,15.7590343036389,-2.114583486281881
135251439.3487365,-67877610.51380628,-11262915.81942873,19.04388101535894,15.98299890341985,-2.077579782647122
136877645.956535,-66487304.59851661,-11440821.94463929,18.60017064875349,16.19864291712957,-2.04062618467997
138465614.2414544,-65078717.41088965,-11615537.55688213,18.15873118602908,16.40621732938156,-2.003725790865149
140015539.4737348,-63652535.75026822,-11787067.36939254,17.71954054161282,16.60596128839477,-1.966881218896698
141527614.9102629,-62209426.24325306,-11955416.30226453,17.28257424431112,16.79810270426757,-1.930094645875247
