x,y,z,vx,vy,vz
45438635.72576185,-96730197.1242423,-2313075.952057116,36.61410298575712,-1.757686929389374,-3.350242409196601
48583124.71572533,-96843619.74013087,-2601563.644133583,36.17327882805417,-0.8738589547836939,-3.327432393506753
51689103.69098867,-96882217.29324198,-2888010.194403946,35.72291372910981,-0.02535748268001403,-3.303021976226838
54755809.78355535,-96848973.50991918,-3172284.405228697,35.26440383104759,0.7893919105588396,-3.277172282886921
57782594.06595182,-96746738.91309886,-3454268.324367978,34.79899333321607,1.571898057638694,-3.250029052946229
60768909.13093194,-96578236.51536977,-3733855.980537847,34.32779057773715,2.323603756888263,-3.221724118511759
63714297.98736608,-96346067.51257682,-4010952.240687676,33.85178245847619,3.045886166358615,-3.192376745013933
66618384.13440409,-96052716.91450398,-4285471.7775333,33.37184731269328,3.740057836466294,-3.162094844524594
69480862.68934414,-95700559.06465903,-4557338.13679976,32.88876644473041,4.407368220471565,-3.130976072265011
72301492.45707521,-95291863.0136609,-4826482.894524209,32.4032344201357,5.049005533610059,-3.099108816479224
75080088.84042998,-94828797.72073756,-5092844.89562685,31.91586825729228,5.666098857560273,-3.066573091325606
77816517.50127609,-94313437.06582384,-5356369.565765999,31.42721563237836,6.259720408089124,-3.033441341829953
80510688.69170909,-93747764.66107607,-5617008.289246567,30.93776220263245,6.830887900971083,-2.999779169290411
83162552.18333066,-93133678.45560198,-5874717.846447546,30.4479381426331,7.380566965307891,-2.965645984860373
85772092.73036186,-92472995.13108908,-6129459.90487339,29.95812397873048,7.909673564752828,-2.931095598381334
88339326.00930856,-91767454.28901766,-6381200.558517244,29.46865579794151,8.419076396339154,-2.896176748908193
90864294.98413607,-91018722.43242976,-6629909.9107554,28.97982989955266,8.90959924402167,-2.860933582773619
93347066.65148546,-90228396.74693698,-6875561.696472444,28.49190695034926,9.38202326998761,-2.825406084481106
95787729.12543523,-89398008.68690094,-7118132.939551398,28.00511569777433,9.837089231547093,-2.789630465200595
